,title,author,publisher,category,language,score,ebookPrice,audiobookPrice,paperPrice,popularity
0,Przejęcie,Wojciech Chmielarz,Wydawnictwo Czarne,Kryminał,Jakub Mortka,"4,4","27,90","29,90","39,90",108
1,Zombie,Wojciech Chmielarz,Wydawnictwo Czarne,Kryminał,Cykl gliwicki,"4,3","33,90","29,90","39,90",51
2,Hashtag,Remigiusz Mróz,Czwarta Strona,Kryminał,polski,"3,9","31,90","39,90","14,90",52
3,Listy zza grobu,Remigiusz Mróz,Filia,Kryminał,Seweryn Zaorski,"4,2","29,90","39,90","39,90",155
4,Rana,Wojciech Chmielarz,Marginesy,Kryminał,polski,"4,1","31,91","39,90","39,90",119
5,Nieodnaleziona,Remigiusz Mróz,Filia,Kryminał,Damian Werner,"4,2","29,90","39,90","39,90",72
6,Iluzjonista,Remigiusz Mróz,Filia,Kryminał,polski,"4,5","29,90","39,90","39,90",371
7,W kręgach władzy Władza absolutna,Remigiusz Mróz,Filia,Kryminał,polski,"0,0",,,"39,90",
8,Kasacja,Remigiusz Mróz,Czwarta Strona,Kryminał,Joanna Chyłka,"4,4","23,90","34,90","34,90",262
9,Nikt się nie dowie,Agnieszka Pietrzyk,Czwarta Strona,Kryminał,polski,"3,9","31,90",,"39,90",311
10,Drugi sen,Robert Harris,Wydawnictwo Albatros,"Sensacja, thriller, horror",polski,"3,7","39,90",,"39,90",139
11,Ekstradycja,Remigiusz Mróz,Czwarta Strona,Kryminał,polski,"4,6","31,90","39,90","39,90",2763
12,Głosy z zaświatów,Remigiusz Mróz,Filia,Kryminał,Seweryn Zaorski,"4,5","29,90","39,90","39,90",540
13,Blizna / Już jesteś martwa,Sharon Bolton,Amber,Kryminał,polski,"0,0",,,"69,90",
14,Księżniczka mafii,Merissa Merico,Amber,Kryminał,polski,"0,0",,,"39,80",
15,Pensjonat Biały Dwór Tom 2. Afrykański klucz,Iga Karst,Szara Godzina,Kryminał,polski,"0,0",,,"34,90",
16,Dramaty,Sobczak Maciej,Poligraf,Kryminał,polski,"0,0",,,"27,00",
17,Boski Znak,Krzysztof Bochus,Skarpa Warszawska,Kryminał,Adam Berg,"4,2","38,00",,"39,90",86
18,Złe dzieci,Dominik Rutkowski,Świat Książki,Obyczajowe i romanse,polski,"4,0","32,90",,"39,90",16
19,Pętla,Grzegorz Majewski,Genius Creations,"Sensacja, thriller, horror",polski,"4,3","29,99",,,
